source,target,maxspeed,osmid,length,name,oneway
297369732,432578825,0,667433348,28.811,Rua de Costa Cabral,False
297369732,773982499,0,62087616,63.527,Travessa da Cruz,False
297369732,297369740,0,62087618,108.573,Rua das Barrocas,True
129777800,129777802,0,13848026,36.655,Rua de Pedro Olaio,True
129777800,1840161096,0,173184601,30.53,Rua de Pedro Olaio,True
129777802,314074370,0,212712362,46.606,Rua de José Monteiro Salazar,True
112263308,111649545,0,"[738892021, 12320269]",199.305,Avenida da Associação Empresarial de Portugal,True
297369740,432578825,0,37141979,111.163,Rua Doutor Júlio de Matos,True
297369742,401623785,0,667433348,16.839,Rua de Costa Cabral,False
297369742,6249235142,0,667433348,147.593,Rua de Costa Cabral,False
297369744,299592379,0,"[453839345, 30911255]",119.12100000000001,"['Largo da Cruz', 'Rua de Contumil']",True
297369744,299599024,0,"[453839344, 62087621]",177.65300000000002,"['Rua da Cruz', 'Largo da Cruz']",True
297369744,773982490,0,"[27291456, 453839346]",131.906,"['Rua Diogo Cão', 'Largo da Cruz']",False
297369744,6249235142,0,667433349,13.789,Rua de Costa Cabral,True
314048657,312404715,0,28433689,204.491,Rua de Fernão Vaz Dourado,True
314048657,420446037,0,478883478,71.903,Rua de Duarte Pacheco Pereira,True
1548075153,1548074715,0,448832530,92.809,Rua 5,False
1548075153,1548075452,0,"[448832530, 103847407]",62.809,"['Rua Monte da Bela', 'Rua 5']",False
1548075153,5306915878,0,549392135,91.494,Rua 5,False
1548075153,5306916277,0,549392143,74.455,Rua do Doutor José Marques,False
2214936721,4556236525,0,211482370,52.598,Largo do Actor Dias,False
2214936721,4556247648,0,211483668,46.937,Largo do Actor Dias,False
2214936721,1274830100,0,211482370,46.602,Largo do Actor Dias,False
480346260,1108123743,0,39979713,38.484,Rua do Alto do Mato,False
417153179,409973397,50,27293235,44.331,Rua do Conde de Burnay,True
417153179,2678049809,20,35732205,77.741,Rua das Antas,True
4753752221,4753748918,0,482563077,8.742999999999999,NONE,False
4753752225,4753748918,0,482563078,11.981,NONE,False
417153187,417153179,20,35732205,78.801,Rua das Antas,True
417153187,299612947,0,262150133,61.398,Rua das Antas,False
417153187,299613373,0,262150132,43.723,Rua de Francisco Carqueja,True
480346285,480346406,0,39979756,20.355,Rua 11,False
480346285,480346473,0,39979759,19.197,Rua 13,False
480346285,1108123743,0,39979759,25.027,Rua 13,False
480346285,1105954959,0,39979756,52.041,Rua 11,False
335741102,1202110373,0,30423178,187.41500000000002,Travessa da Prelada,False
335741102,335740658,0,106572538,183.86,Rua Teodoro de Sousa Maldonado,False
335741102,1225943136,0,106572538,41.04,Rua Teodoro de Sousa Maldonado,False
314048689,314048763,0,478883478,39.613,Rua de Duarte Pacheco Pereira,True
314048689,5297832488,0,478883477,65.119,Rua de Correia de Sá,True
