name,lon,lat
2268201048.0,-8.6207986,41.1443541
2268201056.0,-8.6208344,41.1446235
2293432417.0,-8.5999212,41.1426491
2268201061.0,-8.6208259,41.144445
2268201064.0,-8.6208576,41.1442114
2208891042.0,-8.6070494,41.1459887
2208891059.0,-8.6071094,41.1461494
1554874570.0,-8.6074486,41.1441677
2208891083.0,-8.6074139,41.1454385
128680158.0,-8.617693,41.1463677
2208891134.0,-8.607024,41.1447631
4604821831.0,-8.6019841,41.1427087
4604821832.0,-8.6017334,41.1425698
501252472.0,-8.6092494,41.15581
501252476.0,-8.608839,41.155708
501252500.0,-8.6084236,41.1555352
501252536.0,-8.607678,41.155668
1887601114.0,-8.6062453,41.1552532
4608623070.0,-8.6032205,41.1454323
1887601133.0,-8.6060346,41.155816
1887601134.0,-8.6054379,41.153538
501252596.0,-8.6083452,41.155921
1684865532.0,-8.6225269,41.1446383
501252606.0,-8.6088248,41.1560266
1684865542.0,-8.6206422,41.1473629
501252622.0,-8.60873,41.156254
2273280610.0,-8.6180644,41.1472052
474677911.0,-8.6142468,41.1575429
474677919.0,-8.6137372,41.15688
474677934.0,-8.6130665,41.1566312
2213380800.0,-8.6164894,41.1444423
1676280555.0,-8.6112234,41.1494158
2269315823.0,-8.6219047,41.1445264
2269315826.0,-8.6220859,41.1444528
1676280584.0,-8.6099174,41.1507614
2364998422.0,-8.6113343,41.1499899
2053571360.0,-8.600005,41.1516924
2053571362.0,-8.5992234,41.1521085
137888646.0,-8.6052609,41.1433419
3563651996.0,-8.600525,41.1508026
3563651997.0,-8.6004815,41.150795
3563651998.0,-8.600191,41.1507577
3563651993.0,-8.6006356,41.1505522
2478900152.0,-8.6196676,41.141534
2478900160.0,-8.6202318,41.1424899
2478900174.0,-8.6196327,41.1416269
2478900184.0,-8.6205259,41.1422036
2383414242.0,-8.6162604,41.1488617
2383414260.0,-8.6161958,41.1487349
2937881611.0,-8.6068336,41.1515061
2383414313.0,-8.615793,41.1482424
2352579647.0,-8.6064014,41.1483116
2352579657.0,-8.6062874,41.1482752
2352579674.0,-8.6063151,41.148274
2352579678.0,-8.6063755,41.1482942
2213218016.0,-8.6183486,41.1431616
6591874889.0,-8.6091741,41.1437332
6591874893.0,-8.6093076,41.1432189
2053572447.0,-8.5991136,41.1525038
