source,target,maxspeed,length,name,oneway
6591874893,2208155475,50,27.897000000000002,Travessa da Rua Chã,False
2053572447,2053573404,50,65.42999999999999,Rua da Póvoa,False
2053572447,2053571362,50,45.238,Rua da Póvoa,False
2375419752,5327096253,50,14.333,NONE,False
2257651621,2257727232,50,12.227,Escadas do Cidral de Cima,False
2257651621,475573523,50,16.762,Escadas do Armazém,False
2257651621,475572176,50,66.967,Rua do Cidral de Cima,False
2213447626,3130312337,50,116.437,Campo dos Mártires da Pátria,True
2211383251,2211191456,50,1.704,NONE,False
2211383251,475549048,50,38.694,Rua da Bataria da Vitória,True
475564016,3392711298,50,18.033,Rua de Miragaia,False
475564016,3391597616,50,30.125,Rua de Miragaia,False
475564016,1788784895,50,67.047,NONE,False
974882842,974882854,50,94.344,Rua dos Bragas,False
974882842,2884840234,50,7.68,Rua dos Bragas,False
974882842,1788786305,50,15.027,NONE,False
974882854,25632278,50,93.984,Rua dos Bragas,False
974882854,974882842,50,94.344,Rua dos Bragas,False
974882854,1788786281,50,14.652999999999999,NONE,False
6537250868,2247390934,50,7.695,NONE,False
6537250868,5673143278,50,79.787,NONE,False
6537250868,6537301888,50,152.51500000000001,NONE,False
6537250869,2247390934,50,8.329,NONE,False
6537250869,7134983117,50,82.723,NONE,False
6537250869,6661619688,50,15.146,NONE,False
6640306230,2246143327,50,1.646,NONE,False
6640306230,2246139941,50,1.913,NONE,False
6640306230,1684844050,50,5.8469999999999995,Rua do Conde de Vizela,True
6537250871,6669923478,50,36.049,NONE,False
6537250871,6537250872,50,7.453,NONE,False
6537250871,3098121116,50,18.185,NONE,False
6640306233,2209225417,50,5.744,NONE,False
6640306233,7134805803,50,40.33,NONE,False
6640306233,7134805827,50,15.128,NONE,False
6537250872,3098121120,50,63.197,Rua Professor Vicente José de Carvalho,False
6537250872,6537250873,50,7.286,NONE,False
6537250872,6537250871,50,7.453,NONE,False
6537250872,128680158,50,17.906,Rua Professor Vicente José de Carvalho,False
6537250873,6537301899,50,15.228,NONE,False
6537250873,6537250872,50,7.286,NONE,False
6537250873,5673147495,50,26.628,NONE,False
2214758550,7134805736,50,15.005,Rua da Assunção,False
2214758550,129544876,50,8.607,Rua Arquitecto Nicolau Nasoni,True
2214758555,3130311625,50,18.851,Rua Doutor Ferreira da Silva,False
2214758555,7134805735,50,67.542,Rua de São Filipe de Nery,True
2214758559,2209225419,50,79.312,Rua dos Clérigos,True
2214758559,4529953559,50,4.165,NONE,False
2214758559,4529953561,50,4.096,NONE,False
4608887036,4608872457,50,24.103,Rua da Associação de Moradores de São Victor,True
4608887036,4608887042,50,3.966,NONE,False
4608887037,4608872457,50,3.303,NONE,False
4608887037,4608872430,50,1.733,NONE,False
4608887037,4608887038,50,12.155000000000001,NONE,False
4608887038,4608887040,50,1.59,NONE,False
4608887038,4608887037,50,12.155,NONE,False
4608887038,4608887042,50,11.98,NONE,False
4608887039,4608887040,50,8.849,NONE,False
4608887039,4608872439,50,42.292,NONE,False
4608887039,4608887042,50,4.561999999999999,NONE,False
4608887040,4608887039,50,8.849,NONE,False
4608887040,4608887038,50,1.59,NONE,False
4608887040,4608872430,50,12.125,NONE,False
4608887042,4608887036,50,3.966,NONE,False
4608887042,4608887039,50,4.562,NONE,False
4608887042,4608887038,50,11.98,NONE,False
2934475018,3690635855,50,40.19,Viela do Anjo da Guarda,False
2976647543,25632410,50,7.303,NONE,False
3457190272,129558976,50,50.205000000000005,Largo de São Domingos,True
3457190272,3392711302,50,8.972,Largo de São Domingos,True
3457190272,2209960614,50,60.723,Largo de São Domingos,False
5327096246,2829209750,50,74.573,Rua de Santa Catarina,False
5327096246,25632409,50,8.995000000000001,Rua de Santa Catarina,False
5327096246,4529952477,50,15.178,NONE,False
5327096246,4356494324,50,15.809,NONE,False
3694660030,475405136,50,49.911,Rua do Bolhão,True
3694660030,3695777926,50,24.989,NONE,False
5327096257,25632409,50,7.539,Rua de Santa Catarina,False
5327096257,129553665,50,161.76299999999998,Rua de Santa Catarina,False
5327096257,4356494324,50,12.828,NONE,False
5327096257,5327096253,50,7.273,NONE,False
5327096253,2375419752,50,14.333,NONE,False
5327096253,4529952477,50,6.904,NONE,False
5327096253,5327096257,50,7.273,NONE,False
5673028053,25632371,50,12.991,Rua de Clemente Meneres,True
5673028053,2414401915,50,143.147,"['Rua do Rosário', 'Rua de Clemente Meneres']",True
2257717729,3391597646,50,15.978,NONE,False
2257717760,3391597646,50,18.378,NONE,False
2207582729,6550894003,50,18.765,Rua de São Francisco,False
2207582729,6550893998,50,17.084,Rua de São Francisco,False
2207582729,6550894013,50,1.457,NONE,False
2365622793,2365622809,50,48.346,NONE,False
2365622809,3392939470,50,56.023999999999994,NONE,False
2365622809,2365622708,50,10.18,NONE,False
2365622809,2365622793,50,48.346,NONE,False
6545541668,3387597070,50,75.877,Rua de Mouzinho da Silveira,False
6545541668,3688773918,50,46.641999999999996,Rua de Mouzinho da Silveira,False
6545541668,6545541675,50,12.262,NONE,False
6545541669,6545541675,50,2.376,NONE,False
6545541675,6545541669,50,2.376,NONE,False
6545541675,6545541668,50,12.262,NONE,False
6545541675,6550884952,50,12.530000000000001,NONE,False
6545541675,6550884952,50,13.055,NONE,False
2207418932,3387597051,50,4.902,Rua do Infante Dom Henrique,False
2207418932,4199180593,50,15.033,Rua do Infante Dom Henrique,False
6545541744,6303892467,50,2.196,NONE,False
6545541745,6303892467,50,2.091,NONE,False
6545541747,3130312335,50,114.125,NONE,False
6545541747,2208969600,50,39.228,NONE,False
6545541747,6303892467,50,4.324,NONE,False
111479507,111479509,50,23.473,Rua do Infante Dom Henrique,False
111479507,286969943,50,93.47300000000001,Rua Nova da Alfândega,False
111479509,111479507,50,23.473,Rua do Infante Dom Henrique,False
111479509,3392710660,50,35.707,Rua do Infante Dom Henrique,False
4925459192,3392711311,50,38.188,Viela da Cadeia,True
4925459192,4552662441,50,23.087,Rua Tareija Vaz de Altaro,True
4925459193,2356731134,50,77.629,Avenida Dom Afonso Henriques,False
4925459193,7137534525,50,29.032,Avenida Dom Afonso Henriques,False
