source,target,maxspeed,oneway,name,length
6591874893,2208155475,0,False,Travessa da Rua Chã,27.897000000000002
2053572447,2053573404,0,False,Rua da Póvoa,65.42999999999999
2053572447,2053571362,0,False,Rua da Póvoa,45.238
2375419752,5327096253,0,False,NONE,14.333
2257651621,2257727232,0,False,Escadas do Cidral de Cima,12.227
2257651621,475573523,0,False,Escadas do Armazém,16.762
2257651621,475572176,0,False,Rua do Cidral de Cima,66.967
2213447626,3130312337,0,True,Campo dos Mártires da Pátria,116.437
2211383251,2211191456,0,False,NONE,1.704
2211383251,475549048,0,True,Rua da Bataria da Vitória,38.694
475564016,3392711298,0,False,Rua de Miragaia,18.033
475564016,3391597616,0,False,Rua de Miragaia,30.125
475564016,1788784895,0,False,NONE,67.047
974882842,974882854,0,False,Rua dos Bragas,94.344
974882842,2884840234,0,False,Rua dos Bragas,7.68
974882842,1788786305,0,False,NONE,15.027
974882854,25632278,0,False,Rua dos Bragas,93.984
974882854,974882842,0,False,Rua dos Bragas,94.344
974882854,1788786281,0,False,NONE,14.652999999999999
6537250868,2247390934,0,False,NONE,7.695
6537250868,5673143278,0,False,NONE,79.787
6537250868,6537301888,0,False,NONE,152.51500000000001
6537250869,2247390934,0,False,NONE,8.329
6537250869,7134983117,0,False,NONE,82.723
6537250869,6661619688,0,False,NONE,15.146
6640306230,2246143327,0,False,NONE,1.646
6640306230,2246139941,0,False,NONE,1.913
6640306230,1684844050,0,True,Rua do Conde de Vizela,5.8469999999999995
6537250871,6669923478,0,False,NONE,36.049
6537250871,6537250872,0,False,NONE,7.453
6537250871,3098121116,0,False,NONE,18.185
6640306233,2209225417,0,False,NONE,5.744
6640306233,7134805803,0,False,NONE,40.33
6640306233,7134805827,0,False,NONE,15.128
6537250872,3098121120,0,False,Rua Professor Vicente José de Carvalho,63.197
6537250872,6537250873,0,False,NONE,7.286
6537250872,6537250871,0,False,NONE,7.453
6537250872,128680158,0,False,Rua Professor Vicente José de Carvalho,17.906
6537250873,6537301899,0,False,NONE,15.228
6537250873,6537250872,0,False,NONE,7.286
6537250873,5673147495,0,False,NONE,26.628
2214758550,7134805736,0,False,Rua da Assunção,15.005
2214758550,129544876,0,True,Rua Arquitecto Nicolau Nasoni,8.607
2214758555,3130311625,0,False,Rua Doutor Ferreira da Silva,18.851
2214758555,7134805735,0,True,Rua de São Filipe de Nery,67.542
2214758559,2209225419,0,True,Rua dos Clérigos,79.312
2214758559,4529953559,0,False,NONE,4.165
2214758559,4529953561,0,False,NONE,4.096
4608887036,4608872457,0,True,Rua da Associação de Moradores de São Victor,24.103
4608887036,4608887042,0,False,NONE,3.966
4608887037,4608872457,0,False,NONE,3.303
4608887037,4608872430,0,False,NONE,1.733
4608887037,4608887038,0,False,NONE,12.155000000000001
4608887038,4608887040,0,False,NONE,1.59
4608887038,4608887037,0,False,NONE,12.155
4608887038,4608887042,0,False,NONE,11.98
4608887039,4608887040,0,False,NONE,8.849
4608887039,4608872439,0,False,NONE,42.292
4608887039,4608887042,0,False,NONE,4.561999999999999
4608887040,4608887039,0,False,NONE,8.849
4608887040,4608887038,0,False,NONE,1.59
4608887040,4608872430,0,False,NONE,12.125
4608887042,4608887036,0,False,NONE,3.966
4608887042,4608887039,0,False,NONE,4.562
4608887042,4608887038,0,False,NONE,11.98
2934475018,3690635855,0,False,Viela do Anjo da Guarda,40.19
2976647543,25632410,0,False,NONE,7.303
3457190272,129558976,0,True,Largo de São Domingos,50.205000000000005
3457190272,3392711302,0,True,Largo de São Domingos,8.972
3457190272,2209960614,0,False,Largo de São Domingos,60.723
5327096246,2829209750,0,False,Rua de Santa Catarina,74.573
5327096246,25632409,0,False,Rua de Santa Catarina,8.995000000000001
5327096246,4529952477,0,False,NONE,15.178
5327096246,4356494324,0,False,NONE,15.809
3694660030,475405136,0,True,Rua do Bolhão,49.911
3694660030,3695777926,0,False,NONE,24.989
5327096257,25632409,0,False,Rua de Santa Catarina,7.539
5327096257,129553665,0,False,Rua de Santa Catarina,161.76299999999998
5327096257,4356494324,0,False,NONE,12.828
5327096257,5327096253,0,False,NONE,7.273
5327096253,2375419752,0,False,NONE,14.333
5327096253,4529952477,0,False,NONE,6.904
5327096253,5327096257,0,False,NONE,7.273
5673028053,25632371,0,True,Rua de Clemente Meneres,12.991
5673028053,2414401915,0,True,"['Rua do Rosário', 'Rua de Clemente Meneres']",143.147
2257717729,3391597646,0,False,NONE,15.978
2257717760,3391597646,0,False,NONE,18.378
2207582729,6550894003,0,False,Rua de São Francisco,18.765
2207582729,6550893998,0,False,Rua de São Francisco,17.084
2207582729,6550894013,0,False,NONE,1.457
2365622793,2365622809,0,False,NONE,48.346
2365622809,3392939470,0,False,NONE,56.023999999999994
2365622809,2365622708,0,False,NONE,10.18
2365622809,2365622793,0,False,NONE,48.346
6545541668,3387597070,50,False,Rua de Mouzinho da Silveira,75.877
6545541668,3688773918,50,False,Rua de Mouzinho da Silveira,46.641999999999996
6545541668,6545541675,0,False,NONE,12.262
6545541669,6545541675,0,False,NONE,2.376
6545541675,6545541669,0,False,NONE,2.376
6545541675,6545541668,0,False,NONE,12.262
6545541675,6550884952,0,False,NONE,12.530000000000001
6545541675,6550884952,0,False,NONE,13.055
2207418932,3387597051,0,False,Rua do Infante Dom Henrique,4.902
2207418932,4199180593,0,False,Rua do Infante Dom Henrique,15.033
6545541744,6303892467,0,False,NONE,2.196
6545541745,6303892467,0,False,NONE,2.091
6545541747,3130312335,0,False,NONE,114.125
6545541747,2208969600,0,False,NONE,39.228
6545541747,6303892467,0,False,NONE,4.324
111479507,111479509,0,False,Rua do Infante Dom Henrique,23.473
111479507,286969943,50,False,Rua Nova da Alfândega,93.47300000000001
111479509,111479507,0,False,Rua do Infante Dom Henrique,23.473
111479509,3392710660,0,False,Rua do Infante Dom Henrique,35.707
4925459192,3392711311,0,True,Viela da Cadeia,38.188
4925459192,4552662441,50,True,Rua Tareija Vaz de Altaro,23.087
4925459193,2356731134,0,False,Avenida Dom Afonso Henriques,77.629
4925459193,7137534525,0,False,Avenida Dom Afonso Henriques,29.032
4925459193,7137534526,50,True,Rua Tareija Vaz de Altaro,54.504000000000005
2053573404,2053572447,0,False,Rua da Póvoa,65.43
2904525627,2904508477,0,False,NONE,4.907
475073406,3147589758,0,False,Rua do Melo,4.444
475073406,474544816,0,False,Rua do Melo,32.353
475073406,475073423,0,False,Rua Padre Luís Rodrigues,13.874
1278184335,4529952474,0,True,Rua de Alexandre Braga,9.17
1278184335,4356494336,0,True,Rua de Fernandes Tomás,57.791
475073423,2397188710,0,False,Rua Padre Luís Rodrigues,99.182
475073423,475073406,0,False,Rua Padre Luís Rodrigues,13.874
475073423,5336503464,0,False,NONE,24.508
475073428,3148938222,0,False,NONE,175.80599999999998
475073428,3148938222,0,False,NONE,25.987
475073428,3148938215,0,False,Rua Padre Luís Rodrigues,22.998
1278184346,2204100028,20,False,Rua do Bonjardim,44.346000000000004
1278184346,3392939460,0,True,Rua Formosa,91.014
1278184350,3891282355,0,True,Rua Formosa,62.019
4529130474,3130312346,0,False,NONE,3.34
4529130475,3130312346,0,False,NONE,4.163
4529130475,7134805798,0,False,NONE,12.014
4529130475,7134805807,0,False,NONE,21.581
4529130485,4529130486,0,False,NONE,3.757
4529130486,129558976,50,True,Rua de Ferreira Borges,7.865
4529130486,4529130487,0,False,NONE,8.293
4529130486,4529130485,0,False,NONE,3.757
4529130487,4529130486,0,False,NONE,8.293
2086439968,5673235275,0,True,NONE,6.216
