source,target,oneway,maxspeed,length,osmid,name
297369732,432578825,False,0,28.811,667433348,Rua de Costa Cabral
297369732,773982499,False,0,63.527,62087616,Travessa da Cruz
297369732,297369740,True,0,108.573,62087618,Rua das Barrocas
129777800,129777802,True,0,36.655,13848026,Rua de Pedro Olaio
129777800,1840161096,True,0,30.53,173184601,Rua de Pedro Olaio
129777802,314074370,True,0,46.606,212712362,Rua de José Monteiro Salazar
112263308,111649545,True,0,199.305,"[738892021, 12320269]",Avenida da Associação Empresarial de Portugal
297369740,432578825,True,0,111.163,37141979,Rua Doutor Júlio de Matos
297369742,401623785,False,0,16.839,667433348,Rua de Costa Cabral
297369742,6249235142,False,0,147.593,667433348,Rua de Costa Cabral
297369744,299592379,True,0,119.12100000000001,"[453839345, 30911255]","['Largo da Cruz', 'Rua de Contumil']"
297369744,299599024,True,0,177.65300000000002,"[453839344, 62087621]","['Largo da Cruz', 'Rua da Cruz']"
297369744,773982490,False,0,131.906,"[27291456, 453839346]","['Rua Diogo Cão', 'Largo da Cruz']"
297369744,6249235142,True,0,13.789,667433349,Rua de Costa Cabral
314048657,312404715,True,0,204.491,28433689,Rua de Fernão Vaz Dourado
314048657,420446037,True,0,71.903,478883478,Rua de Duarte Pacheco Pereira
1548075153,1548074715,False,0,92.809,448832530,Rua 5
1548075153,1548075452,False,0,62.809,"[448832530, 103847407]","['Rua 5', 'Rua Monte da Bela']"
1548075153,5306915878,False,0,91.494,549392135,Rua 5
1548075153,5306916277,False,0,74.455,549392143,Rua do Doutor José Marques
2214936721,4556236525,False,0,52.598,211482370,Largo do Actor Dias
2214936721,4556247648,False,0,46.937,211483668,Largo do Actor Dias
2214936721,1274830100,False,0,46.602,211482370,Largo do Actor Dias
480346260,1108123743,False,0,38.484,39979713,Rua do Alto do Mato
417153179,409973397,True,50,44.331,27293235,Rua do Conde de Burnay
417153179,2678049809,True,20,77.741,35732205,Rua das Antas
4753752221,4753748918,False,0,8.742999999999999,482563077,NONE
4753752225,4753748918,False,0,11.981,482563078,NONE
417153187,417153179,True,20,78.801,35732205,Rua das Antas
417153187,299612947,False,0,61.398,262150133,Rua das Antas
417153187,299613373,True,0,43.723,262150132,Rua de Francisco Carqueja
480346285,480346406,False,0,20.355,39979756,Rua 11
480346285,480346473,False,0,19.197,39979759,Rua 13
480346285,1108123743,False,0,25.027,39979759,Rua 13
480346285,1105954959,False,0,52.041,39979756,Rua 11
335741102,1202110373,False,0,187.41500000000002,30423178,Travessa da Prelada
335741102,335740658,False,0,183.86,106572538,Rua Teodoro de Sousa Maldonado
335741102,1225943136,False,0,41.04,106572538,Rua Teodoro de Sousa Maldonado
314048689,314048763,True,0,39.613,478883478,Rua de Duarte Pacheco Pereira
314048689,5297832488,True,0,65.119,478883477,Rua de Correia de Sá
2202026176,138246940,True,0,15.745,391839895,Rua de Ferreira Cardoso
2202026176,2202026181,True,50,48.287,210073245,Avenida de Camilo
2202026181,2202026187,False,0,14.472,210073280,NONE
2202026181,2202026189,True,50,52.346,210073245,Avenida de Camilo
480346311,1105954950,False,0,24.963,39979716,Rua 6
480346311,480346404,False,0,30.031,39979741,Rua 8
480346311,480346209,False,0,42.782,39979741,Rua 8
1554874570,2135998880,True,0,96.144,31573135,Rua de Augusto Rosa
2202026187,2202026181,False,0,14.472,210073280,NONE
2202026187,138246940,True,50,50.222,14334234,Avenida de Camilo
2202026189,2202026196,True,50,52.694,210073245,Avenida de Camilo
2202026189,2202026195,False,0,14.102,210073287,NONE
480346323,1105954950,False,0,28.233,39979716,Rua 6
480346323,480346337,False,0,30.433,39979720,Rua 5
480346323,479522367,False,0,54.906,39979720,Rua 5
2202026195,2202026189,False,0,14.102,210073287,NONE
2202026195,2202026187,True,50,52.096,14334234,Avenida de Camilo
299614420,253283034,False,0,32.368,35084624,Rua do Major David Magno
2202026196,2202026209,True,50,50.536,210073245,Avenida de Camilo
2202026196,2202026206,False,0,13.677,210073288,NONE
299614426,1108076389,False,0,43.187,545035488,Rua de São Gonçalo
299614426,299614331,True,0,88.478,482324649,Rua Coutinho de Azevedo
128680158,129558556,True,0,160.876,14326493,Campo dos Mártires da Pátria
128680158,1554886175,False,0,92.25000000000001,51230332,Rua Professor Vicente José de Carvalho
2202026206,2202026195,True,50,52.745,14334234,Avenida de Camilo
2202026206,2202026196,False,0,13.677,210073288,NONE
479297761,4505062039,False,50,20.18,252061999,Rua da Torreira
479297761,479412037,True,50,57.133,453823648,Rua do Estoril
479297762,479297773,False,0,20.456,39928989,Rua de Cascais
479297762,1840161060,False,0,65.009,36854000,Rua do Furadouro
479297762,479297761,True,50,42.555,453823648,Rua do Estoril
480346337,480346323,False,0,30.433,39979720,Rua 5
1471135969,1461624008,False,0,3.881,132855199,Rua Amândio Tavares
1471135969,1471135970,False,0,60.42700000000001,132855199,Rua Amândio Tavares
1471135969,1461624007,True,0,183.311,133659992,Rua do Professor Agostinho da Silva
1471135970,1461657431,True,0,109.361,132854916,Rua de Armando Laroze Rocha
1471135970,1471135969,False,0,60.42700000000001,132855199,Rua Amândio Tavares
2202026209,2202026216,True,50,61.001,210073245,Avenida de Camilo
